Id,SalePrice,Neighborhood,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleCondition,Corner,CulDSac,FR2,FR3,Inside,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker,1Fam,2Fam,Twnhs,1.5Fin,1.5Unf,1Story,2.5Fin,2.5Unf,2Story,SFoyer,SLvl,Gable,Hip,Others,BrkCmn,BrkFace,None,Stone,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010
1,208500,CollgCr,65.0,8450,1,0.0,1,1,1,1,7,5,5,5,1,196.0,4,3,4.0,3.0,0.0,6.0,706,1.0,0,150,856,1,5,1,1.0,856,854,0,1710,1,0,2,1,3,1,4,8,0,2.0,2,548,3.0,3.0,2,0,61,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
2,181500,Veenker,80.0,9600,1,0.0,1,1,1,1,6,8,31,31,1,0.0,3,3,4.0,3.0,3.0,5.0,978,1.0,0,284,1262,1,5,1,1.0,1262,0,0,1262,0,1,2,0,3,1,3,6,1,2.0,2,460,3.0,3.0,2,298,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
3,223500,CollgCr,68.0,11250,1,0.0,0,1,1,1,7,5,7,6,1,162.0,4,3,4.0,3.0,1.0,6.0,486,1.0,0,434,920,1,5,1,1.0,920,866,0,1786,1,0,2,1,3,1,4,6,1,2.0,2,608,3.0,3.0,2,0,42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
4,140000,Crawfor,60.0,9550,1,0.0,0,1,1,1,7,5,91,36,1,0.0,3,3,3.0,4.0,0.0,5.0,216,1.0,0,540,756,1,4,1,1.0,961,756,0,1717,1,0,1,0,3,1,4,7,1,1.0,3,642,3.0,3.0,2,0,35,272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
5,250000,NoRidge,84.0,14260,1,0.0,0,1,1,1,8,5,8,8,1,350.0,4,3,4.0,3.0,2.0,6.0,655,1.0,0,490,1145,1,5,1,1.0,1145,1053,0,2198,1,0,2,1,4,1,4,9,1,2.0,3,836,3.0,3.0,2,192,84,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
6,143000,Mitchel,85.0,14115,1,0.0,0,1,1,1,5,5,16,14,1,0.0,3,3,4.0,3.0,0.0,6.0,732,1.0,0,64,796,1,5,1,1.0,796,566,0,1362,1,0,1,1,1,1,3,5,0,1.0,2,480,3.0,3.0,2,40,30,0,320,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
7,307000,Somerst,75.0,10084,1,0.0,1,1,1,1,8,5,3,2,1,186.0,4,3,5.0,3.0,2.0,6.0,1369,1.0,0,317,1686,1,5,1,1.0,1694,0,0,1694,1,0,2,0,3,1,4,7,1,2.0,2,636,3.0,3.0,2,255,57,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
8,200000,NWAmes,0.0,10382,1,0.0,0,1,1,1,7,6,36,36,1,240.0,3,3,4.0,3.0,1.0,5.0,859,4.0,32,216,1107,1,5,1,1.0,1107,983,0,2090,1,0,2,1,3,1,3,7,2,2.0,2,484,3.0,3.0,2,235,204,228,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
9,129900,OldTown,51.0,6120,1,0.0,1,1,1,1,7,5,77,58,1,0.0,3,3,3.0,3.0,0.0,1.0,0,1.0,0,952,952,1,4,1,0.0,1022,752,0,1774,0,0,2,0,2,2,3,8,2,1.0,2,468,2.0,3.0,2,90,0,205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
10,118000,BrkSide,50.0,7420,1,0.0,1,1,1,1,5,6,69,58,1,0.0,3,3,3.0,3.0,0.0,6.0,851,1.0,0,140,991,1,5,1,1.0,1077,0,0,1077,1,0,1,0,2,2,3,5,2,2.0,1,205,4.0,3.0,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
